X,Y
1,54000.0
2,54700.0
3,54000.0
4,54000.0
5,54000.0
6,54000.0
7,54000.0
8,53950.0
9,53100.0
10,53100.0
11,53100.0
12,53100.0
13,53100.0
14,53100.0
15,52950.0
16,52450.0
17,52450.0
18,52450.0
19,52450.0
20,52450.0
21,52750.0
22,49550.0
23,49550.0
24,49550.0
25,49550.0
26,49550.0
27,49550.0
28,49550.0
29,49550.0
30,54600.0
31,54600.0
32,54600.0
33,54600.0
34,54600.0
35,54600.0
36,55600.0
37,54950.0
38,54950.0
39,54950.0
40,54950.0
41,54950.0
42,54950.0
43,55550.0
44,55550.0
45,55550.0
46,55550.0
47,55550.0
48,55550.0
49,55550.0
50,55700.0
51,54400.0
52,54400.0
53,54400.0
54,54400.0
55,54400.0
56,54400.0
57,53350.0
58,53300.0
59,53300.0
60,53300.0
61,53300.0
62,53300.0
63,54800.0
64,55750.0
65,55750.0
66,55750.0
67,55750.0
68,55750.0
69,55750.0
70,55750.0
71,55250.0
72,57150.0
73,57150.0
74,57150.0
75,57150.0
76,57150.0
77,57150.0
78,54800.0
79,57400.0
80,57400.0
81,57400.0
82,57400.0
83,57400.0
84,57500.0
85,59100.0
86,59100.0
87,59100.0
88,59100.0
89,59100.0
90,59100.0
91,58600.0
92,57450.0
93,57450.0
94,57450.0
95,57450.0
96,57450.0
97,57450.0
98,61900.0
99,65850.0
100,65850.0
101,65850.0
102,65850.0
103,65850.0
104,65850.0
105,67500.0
106,70700.0
107,70700.0
108,70700.0
109,70700.0
110,70700.0
111,70700.0
112,69850.0
113,69800.0
114,69800.0
115,69800.0
116,69800.0
117,69800.0
118,69800.0
119,69800.0
120,68750.0
121,68750.0
122,68750.0
123,68750.0
124,68750.0
125,68750.0
126,67850.0
127,66900.0
128,66900.0
129,66900.0
130,66900.0
131,66900.0
132,66900.0
133,66900.0
134,66750.0
135,66750.0
136,66750.0
137,66750.0
138,66750.0
139,66750.0
140,66100.0
141,65750.0
142,65750.0
143,65750.0
144,65750.0
145,65750.0
146,65750.0
147,62250.0
148,62600.0
149,62600.0
150,62600.0
151,62600.0
152,62600.0
153,62600.0
154,61650.0
155,58400.0
156,58400.0
157,58400.0
158,58400.0
159,58400.0
160,58400.0
161,59650.0
162,59700.0
163,59700.0
164,59700.0
165,59700.0
166,59700.0
167,59700.0
168,60350.0
169,62850.0
170,62850.0
171,62850.0
172,62850.0
173,62850.0
174,62850.0
175,62850.0
176,62850.0
177,62850.0
178,62850.0
179,62850.0
180,62850.0
181,62850.0
